3	Wancheng Yuan, Elena Demidova, Stefan Dietze and Xuan Zhou. Analyzing Relative Incompleteness of Movie Descriptions in the Web of Data: A Case Study	Wancheng Yuan, Elena Demidova, Stefan Dietze and Xuan Zhou	Analyzing Relative Incompleteness of Movie Descriptions in the Web of Data: A Case Study	ACCEPT as poster
5	Eero Hyvönen, Miika Alonen, Esko Ikkala and Eetu Mäkelä. Life Stories as Event-based Linked Data: Case Semantic National Biography	Eero Hyvönen, Miika Alonen, Esko Ikkala and Eetu Mäkelä	Life Stories as Event-based Linked Data: Case Semantic National Biography	ACCEPT as demo
6	Sebastian Arnold, Damian Burke, Tobias Dörsch, Bernd Löber and Andreas Lommatzsch. News Visualization based on Semantic Knowledge	Sebastian Arnold, Damian Burke, Tobias Dörsch, Bernd Löber and Andreas Lommatzsch	News Visualization based on Semantic Knowledge	ACCEPT as demo
7	Dong Liu and Chenghua Lin. Sherlock: a Semi-Automatic Quiz Generation System using Linked Data	Dong Liu and Chenghua Lin	Sherlock: a Semi-Automatic Quiz Generation System using Linked Data	ACCEPT as demo
9	Dario De Nart, Carlo Tasso and Dante Degl'Innocenti. A Semantic Metadata Generator for Web Pages Based on Keyphrase Extraction	Dario De Nart, Carlo Tasso and Dante Degl'Innocenti	A Semantic Metadata Generator for Web Pages Based on Keyphrase Extraction	ACCEPT as poster
10	Ruben Verborgh, Olaf Hartig, Ben De Meester, Gerald Haesendonck, Laurens De Vocht, Miel Vander Sande, Richard Cyganiak, Pieter Colpaert, Erik Mannens and Rik Van de Walle. Low-Cost Queryable Linked Data through Triple Pattern Fragments	Ruben Verborgh, Olaf Hartig, Ben De Meester, Gerald Haesendonck, Laurens De Vocht, Miel Vander Sande, Richard Cyganiak, Pieter Colpaert, Erik Mannens and Rik Van de Walle	Low-Cost Queryable Linked Data through Triple Pattern Fragments	ACCEPT as demo
12	Dana Dannells, Ramona Enache and Mariana Damova. A Multilingual SPARQL-Based Retrieval Interface for Cultural Heritage Objects	Dana Dannells, Ramona Enache and Mariana Damova	A Multilingual SPARQL-Based Retrieval Interface for Cultural Heritage Objects	ACCEPT as poster
13	Maurizio Atzori. call: A Nucleus for a Web of Open Functions	Maurizio Atzori	call: A Nucleus for a Web of Open Functions	ACCEPT as demo
14	Frederic Font, Sergio Oramas, György Fazekas and Xavier Serra. Extending Tagging Ontologies with Domain Specific Knowledge	Frederic Font, Sergio Oramas, György Fazekas and Xavier Serra	Extending Tagging Ontologies with Domain Specific Knowledge	ACCEPT as poster
16	Ziqi Zhang. DisambiguatingWeb Tables using Partial Data	Ziqi Zhang	DisambiguatingWeb Tables using Partial Data	ACCEPT as poster
